               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.038341,              0.1348,           0.0057213,             0.86731,             0.58895,             0.67291,              0.5048,            0.035205,            0.096159,           0.0094519,           0.0076269,           0.0076269,           0.0076269
                 112,            0.036839,               0.129,           0.0053305,             0.79469,             0.64772,             0.68599,             0.51835,            0.035303,            0.096521,             0.01035,           0.0075886,           0.0075886,           0.0075886
                 113,            0.037167,             0.13286,           0.0056001,             0.79354,             0.63074,             0.69606,             0.52485,            0.035134,            0.096115,           0.0094795,           0.0075501,           0.0075501,           0.0075501
                 114,            0.036976,             0.12937,           0.0054612,             0.70729,             0.66919,             0.70036,             0.53665,            0.034368,            0.094849,           0.0096645,           0.0075114,           0.0075114,           0.0075114
                 115,            0.037052,             0.12828,           0.0053837,              0.7722,             0.71234,             0.72487,             0.56818,            0.034114,            0.094054,           0.0099591,           0.0074725,           0.0074725,           0.0074725
                 116,            0.036411,             0.12809,           0.0055562,             0.77353,             0.64772,              0.7418,             0.56458,            0.034844,            0.094951,           0.0087929,           0.0074335,           0.0074335,           0.0074335
                 117,            0.037025,             0.12917,           0.0052182,             0.80438,             0.60631,             0.70077,             0.52957,            0.034918,            0.096214,             0.01024,           0.0073943,           0.0073943,           0.0073943
                 118,            0.036296,             0.12907,           0.0052767,             0.81674,             0.60697,             0.70825,             0.52001,            0.034502,            0.095843,            0.010309,            0.007355,            0.007355,            0.007355
                 119,            0.037556,             0.12887,           0.0052434,             0.78061,             0.64692,             0.72663,             0.56337,             0.03416,            0.094288,           0.0095974,           0.0073155,           0.0073155,           0.0073155
                 120,            0.037004,             0.12925,            0.005211,             0.89041,             0.64409,             0.72886,             0.54276,             0.03475,            0.096031,           0.0091021,           0.0072758,           0.0072758,           0.0072758
                 121,            0.036541,             0.12866,           0.0049608,             0.83316,             0.68608,             0.76245,             0.57361,            0.034781,            0.096345,            0.010542,           0.0072361,           0.0072361,           0.0072361
                 122,            0.037037,              0.1289,           0.0050397,             0.73061,             0.73086,             0.75757,             0.57066,            0.034684,            0.096499,           0.0097249,           0.0071962,           0.0071962,           0.0071962
                 123,            0.036409,             0.12712,           0.0049352,              0.8596,             0.64905,             0.76566,             0.59932,            0.034309,            0.095007,           0.0096981,           0.0071561,           0.0071561,           0.0071561
                 124,            0.036518,             0.12769,           0.0050249,             0.65986,             0.65555,             0.69379,             0.52117,            0.034178,            0.094893,           0.0093128,            0.007116,            0.007116,            0.007116
                 125,            0.036886,             0.12646,           0.0048618,             0.72816,             0.62429,             0.70025,             0.53555,            0.034324,            0.095121,            0.010115,           0.0070757,           0.0070757,           0.0070757
                 126,            0.036934,             0.13013,           0.0051678,             0.68189,             0.64035,             0.69706,             0.53836,            0.035113,            0.097285,            0.011264,           0.0070353,           0.0070353,           0.0070353
                 127,            0.037468,             0.12868,           0.0053047,             0.71526,             0.67318,             0.72264,             0.55831,            0.034562,            0.094716,           0.0094844,           0.0069948,           0.0069948,           0.0069948
                 128,            0.036107,             0.12565,           0.0049751,             0.69931,             0.67707,             0.73759,              0.5713,            0.034408,            0.095857,            0.010085,           0.0069541,           0.0069541,           0.0069541
                 129,             0.03609,             0.12679,           0.0048732,              0.7782,             0.62528,              0.7087,             0.54252,            0.034983,            0.096863,           0.0099869,           0.0069134,           0.0069134,           0.0069134
                 130,            0.036581,             0.12913,           0.0048697,              0.7739,             0.62036,             0.69347,             0.53297,            0.034936,            0.095939,           0.0093524,           0.0068726,           0.0068726,           0.0068726
                 131,            0.036872,             0.12958,            0.004903,             0.70801,             0.66566,             0.73696,             0.56544,            0.034633,            0.094982,           0.0091157,           0.0068316,           0.0068316,           0.0068316
                 132,             0.03697,             0.12901,           0.0051414,             0.77048,             0.63006,             0.69757,             0.54455,            0.034162,            0.095578,           0.0091308,           0.0067906,           0.0067906,           0.0067906
                 133,            0.036096,             0.12675,           0.0049047,             0.73681,             0.70018,              0.7514,             0.57545,            0.034545,            0.096962,           0.0094595,           0.0067495,           0.0067495,           0.0067495
                 134,            0.036159,             0.12655,           0.0048738,             0.83508,             0.56901,             0.65173,              0.4955,            0.034801,             0.09607,           0.0093157,           0.0067083,           0.0067083,           0.0067083
                 135,            0.036412,             0.12809,           0.0048852,             0.82186,             0.62706,             0.69809,             0.52773,            0.035027,            0.097748,            0.010143,           0.0066671,           0.0066671,           0.0066671
                 136,            0.036216,             0.12566,           0.0047271,             0.61836,             0.69012,             0.69277,             0.52603,            0.034638,            0.096627,             0.01075,           0.0066257,           0.0066257,           0.0066257
                 137,            0.035836,             0.12428,           0.0045578,             0.73266,             0.67429,             0.71158,             0.54028,            0.034436,            0.094849,           0.0093428,           0.0065843,           0.0065843,           0.0065843
                 138,            0.035323,             0.12245,           0.0044359,             0.71672,             0.60807,             0.67999,             0.52605,            0.033781,            0.093607,           0.0091873,           0.0065429,           0.0065429,           0.0065429
                 139,            0.035317,             0.12108,           0.0045391,             0.71872,               0.732,             0.74893,             0.58705,            0.034065,            0.094861,           0.0087471,           0.0065013,           0.0065013,           0.0065013
                 140,            0.035999,              0.1243,           0.0046234,             0.72572,             0.70739,             0.76365,             0.60131,            0.033999,            0.095928,           0.0093241,           0.0064597,           0.0064597,           0.0064597
                 141,             0.03642,               0.128,           0.0046206,             0.71505,             0.69514,             0.73743,             0.56887,            0.034114,            0.094551,           0.0097756,           0.0064181,           0.0064181,           0.0064181
                 142,            0.035343,             0.12238,            0.004517,             0.72482,             0.67894,             0.72922,             0.55401,            0.033971,            0.094085,           0.0093271,           0.0063764,           0.0063764,           0.0063764
                 143,            0.035959,              0.1239,           0.0045963,             0.70418,             0.65121,             0.72892,              0.5711,            0.034155,            0.095656,           0.0098142,           0.0063347,           0.0063347,           0.0063347
                 144,            0.035588,             0.12434,           0.0046216,             0.70593,             0.64235,             0.71608,             0.55387,            0.034316,            0.094711,           0.0092259,            0.006293,            0.006293,            0.006293
                 145,            0.035348,             0.12232,           0.0045373,             0.71408,             0.65625,             0.71737,             0.53399,            0.034277,            0.095332,            0.010391,           0.0062512,           0.0062512,           0.0062512
                 146,            0.036163,             0.12766,           0.0045429,             0.71443,             0.66818,             0.71897,             0.54522,             0.03531,            0.098737,            0.010226,           0.0062093,           0.0062093,           0.0062093
                 147,            0.036782,             0.13075,           0.0043663,              0.8737,             0.60655,             0.68439,             0.52973,            0.034989,            0.097559,            0.009826,           0.0061675,           0.0061675,           0.0061675
                 148,            0.035768,             0.12553,           0.0042605,             0.73776,             0.70858,             0.71395,             0.54431,            0.034531,            0.096761,           0.0097438,           0.0061256,           0.0061256,           0.0061256
                 149,            0.035456,             0.12396,            0.004602,             0.77067,             0.70775,             0.71859,              0.5437,            0.034319,            0.095796,           0.0096888,           0.0060838,           0.0060838,           0.0060838
                 150,            0.035518,             0.12619,           0.0043324,             0.72275,             0.66244,             0.70588,             0.54088,            0.034645,            0.095814,           0.0093713,           0.0060419,           0.0060419,           0.0060419
                 151,            0.036303,             0.12615,           0.0043433,             0.76549,             0.61441,              0.6894,             0.53501,            0.034696,            0.096229,            0.010143,               0.006,               0.006,               0.006
                 152,            0.035521,             0.12354,           0.0043536,             0.71468,             0.65198,             0.72098,             0.54798,            0.034815,            0.096985,           0.0098445,           0.0059581,           0.0059581,           0.0059581
                 153,            0.035432,             0.12727,           0.0042196,             0.73231,             0.64307,             0.71434,              0.5395,            0.034561,            0.097461,            0.010525,           0.0059162,           0.0059162,           0.0059162
                 154,            0.034726,             0.12325,           0.0042468,             0.72527,             0.66182,             0.70069,             0.54198,            0.033958,            0.095406,           0.0099379,           0.0058744,           0.0058744,           0.0058744
                 155,            0.035415,             0.12391,           0.0042694,              0.6901,             0.68692,              0.7048,              0.5471,            0.034001,            0.095744,           0.0090078,           0.0058325,           0.0058325,           0.0058325
